,50,60,70,80,90,100
5,0.0016066482057794929,0.006627635098993778,0.0018243019003421068,0.0017485275166109204,0.0007171194883994758,0.0011006901040673256
10,0.010929940268397331,0.01093689352273941,0.006477877497673035,0.002715184586122632,0.0031858631409704685,0.0020010313019156456
15,0.011394293047487736,0.008827786892652512,0.0049845012836158276,0.004362377338111401,0.0033917438704520464,0.003459457540884614
20,0.011965681798756123,0.006508545484393835,0.0063226004131138325,0.004718016367405653,0.0045034619979560375,0.0029513686895370483
25,0.013134808279573917,0.00998629629611969,0.007257059216499329,0.005444572307169437,0.004373718518763781,0.0039099110290408134
30,0.017102111130952835,0.00984871108084917,0.007384984288364649,0.0047403303906321526,0.004263666924089193,0.004113495349884033
