,50,60,70,80,90,100
5,0.029350105673074722,0.011648223735392094,0.0040241447277367115,0.009154316037893295,0.0062089115381240845,0.00568752083927393
10,0.04929577559232712,0.03345724940299988,0.046666666865348816,0.0102617796510458,0.014019588939845562,0.01024177297949791
15,0.07152842730283737,0.05941373109817505,0.026010142639279366,0.024845613166689873,0.01782640814781189,0.013607700355350971
20,0.11140725016593933,0.09590033441781998,0.06697572022676468,0.043384648859500885,0.033011194318532944,0.025641025975346565
25,0.10299383848905563,0.10117233544588089,0.06264456361532211,0.04953937232494354,0.040927059948444366,0.03212346136569977
30,0.13174213469028473,0.11424115300178528,0.07943040877580643,0.05610048770904541,0.04371550306677818,0.03525818884372711
