,50,60,70,80,90,100
5,0.020771512761712074,0.012770682573318481,0.010923987254500389,0.003221909049898386,0.002996254712343216,0.0018809849862009287
10,0.039603959769010544,0.025959977880120277,0.01592843048274517,0.022804372012615204,0.005521909333765507,0.004959972109645605
15,0.054159361869096756,0.03224119916558266,0.0245685875415802,0.02050405740737915,0.012951744720339775,0.005796883255243301
20,0.053978778421878815,0.047100089490413666,0.04051417484879494,0.029419776052236557,0.031029842793941498,0.009553649462759495
25,0.09009008854627609,0.07889512181282043,0.042858392000198364,0.031262289732694626,0.017657892778515816,0.06842021644115448
30,0.11398473381996155,0.07948820292949677,0.050259850919246674,0.04141608998179436,0.03217916563153267,0.02673976868391037
