,50,60,70,80,90,100
5,0.004455749411135912,0.003341661999002099,0.0025884041097015142,0.0007950396975502372,0.0005615436821244657,0.00035386995295993984
10,0.007969876751303673,0.0046774460934102535,0.003369221929460764,0.004310816992074251,0.0011516350787132978,0.0008248052909038961
15,0.009502988308668137,0.0060492935590445995,0.004128179047256708,0.003229465801268816,0.002130361506715417,0.001015805290080607
20,0.007993901148438454,0.006698351353406906,0.006738314405083656,0.004669433459639549,0.004359019920229912,0.0013836678117513657
25,0.011261307634413242,0.010008244775235653,0.0063163358718156815,0.004137744661420584,0.0022143463138490915,0.006502296309918165
30,0.012027667835354805,0.009446892887353897,0.00561270909383893,0.005083650816231966,0.0039015887305140495,0.003207034431397915
