2026-03-18 00:25:02 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-18 00:25:02 | INFO | LOOP_START | Iteration 1
2026-03-18 00:25:15 | INFO | SHUTDOWN | KeyboardInterrupt received
2026-03-18 00:25:15 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-18 00:25:15 | INFO | SHUTDOWN | Live loop ended
2026-03-18 00:25:18 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-18 00:26:05 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-18 00:26:05 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-18 00:26:05 | INFO | LOOP_START | Iteration 1
2026-03-18 00:26:26 | INFO | REGIME_CHANGE | [M1] sbar None → 1.463
2026-03-18 00:26:26 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:26:26 | INFO | POSITION_CREATED | SHORT @ 5004.98  SL=5008.98  TP=4999.48  signal=moderate regime short μ=-0.006
2026-03-18 00:26:26 | ERROR | place_mt5_order failed: retcode=None
2026-03-18 00:26:46 | INFO | LOOP_START | Iteration 2
2026-03-18 00:27:08 | INFO | LOOP_START | Iteration 3
2026-03-18 00:27:30 | INFO | LOOP_START | Iteration 4
2026-03-18 00:27:52 | INFO | LOOP_START | Iteration 5
2026-03-18 00:28:14 | INFO | LOOP_START | Iteration 6
2026-03-18 00:28:36 | INFO | LOOP_START | Iteration 7
2026-03-18 00:28:58 | INFO | LOOP_START | Iteration 8
2026-03-18 00:29:20 | INFO | LOOP_START | Iteration 9
2026-03-18 00:29:42 | INFO | LOOP_START | Iteration 10
2026-03-18 00:29:44 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:30:04 | INFO | LOOP_START | Iteration 11
2026-03-18 00:30:26 | INFO | LOOP_START | Iteration 12
2026-03-18 00:30:48 | INFO | LOOP_START | Iteration 13
2026-03-18 00:31:11 | INFO | LOOP_START | Iteration 14
2026-03-18 00:31:33 | INFO | LOOP_START | Iteration 15
2026-03-18 00:31:56 | INFO | LOOP_START | Iteration 16
