2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.384898 | Score: 36.0 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $118.30
2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.509208 | Score: 35.0 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $91.75
2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.740083 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $48.24
2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.814639 | Score: 34.5 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $61.25
2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.893696 | Score: 44.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $68.85
2026-02-27 00:13:45 | INFO | RISK | 2026-02-27 00:13:45.973016 | Score: 39.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $81.14
2026-02-27 00:13:46 | INFO | RISK | 2026-02-27 00:13:46.240214 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $82.96
2026-02-27 00:13:46 | INFO | RISK | 2026-02-27 00:13:46.390968 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $90.63
2026-02-27 00:13:46 | INFO | RISK | 2026-02-27 00:13:46.576234 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $91.16
2026-02-27 00:13:46 | INFO | RISK | 2026-02-27 00:13:46.642547 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $118.17
2026-02-27 00:13:46 | INFO | RISK | 2026-02-27 00:13:46.873589 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $119.34
2026-02-27 00:13:47 | INFO | RISK | 2026-02-27 00:13:47.123373 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $192.92
2026-02-27 00:13:47 | INFO | RISK | 2026-02-27 00:13:47.212660 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $188.99
2026-02-27 00:13:47 | INFO | RISK | 2026-02-27 00:13:47.706607 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $156.11
2026-02-27 00:13:47 | INFO | RISK | 2026-02-27 00:13:47.947608 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $102.14
2026-02-27 00:13:48 | INFO | RISK | 2026-02-27 00:13:48.664210 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $57.82
2026-02-27 00:13:48 | INFO | RISK | 2026-02-27 00:13:48.971246 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $59.80
2026-02-27 00:13:49 | INFO | RISK | 2026-02-27 00:13:49.395196 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $104.69
2026-02-27 00:13:50 | INFO | RISK | 2026-02-27 00:13:50.482910 | Score: 45.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $114.83
2026-02-27 00:13:50 | INFO | RISK | 2026-02-27 00:13:50.683128 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $221.97
2026-02-27 00:13:51 | INFO | RISK | 2026-02-27 00:13:51.039276 | Score: 54.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $246.12
2026-02-27 00:13:52 | INFO | RISK | 2026-02-27 00:13:52.773021 | Score: 48.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $84.58
2026-02-27 00:13:56 | INFO | RISK | 2026-02-27 00:13:56.073301 | Score: 48.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $122.23
2026-02-27 00:13:56 | INFO | RISK | 2026-02-27 00:13:56.410158 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $131.21
2026-02-27 00:13:56 | INFO | RISK | 2026-02-27 00:13:56.847647 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $194.86
2026-02-27 00:13:57 | INFO | RISK | 2026-02-27 00:13:57.000055 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $207.68
2026-02-27 00:13:57 | INFO | RISK | 2026-02-27 00:13:57.118261 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $223.00
2026-02-27 00:13:57 | INFO | RISK | 2026-02-27 00:13:57.439332 | Score: 51.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $271.51
2026-02-27 00:17:25 | INFO | RISK | 2026-02-27 00:17:25.695280 | Score: 43.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $115.83
2026-02-27 00:17:25 | INFO | RISK | 2026-02-27 00:17:25.806476 | Score: 37.0 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $91.75
