2026-02-26 20:22:04 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:15:03 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:15:39 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:15:54 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:19:38 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:19:59 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:23:43 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:24:21 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:24:57 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:31:43 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:35:13 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:36:42 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:38:13 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:38:46 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:40:14 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:42:23 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:42:41 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:45:20 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:45:20 | INFO | ITERATION_START | Iteration 1
2026-02-26 22:47:22 | INFO | ITERATION_START | Iteration 2
2026-02-26 22:48:43 | INFO | SHUTDOWN | User interrupted
2026-02-26 22:48:43 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-02-26 22:48:45 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:48:45 | INFO | ITERATION_START | Iteration 1
2026-02-26 22:49:59 | INFO | SHUTDOWN | User interrupted
2026-02-26 22:49:59 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-02-26 22:50:06 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:51:12 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:53:01 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 22:58:57 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:05:02 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:10:50 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:15:54 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:17:26 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:19:06 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:25:13 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:29:57 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:35:16 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:36:09 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:37:32 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:38:23 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:52:20 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-02-26 23:55:16 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
