2026-03-30 03:49:47 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:51:07 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:51:41 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:52:47 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:54:10 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:56:55 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 03:57:40 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:03:01 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:08:49 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-30 04:13:19 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:14:26 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:15:10 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:19:31 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:20:16 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:22:58 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-30 04:45:16 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:45:54 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:50:29 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 04:50:43 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 06:23:21 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 06:30:18 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 06:31:00 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-30 06:38:38 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
