2026-02-26 22:42:43 | INFO | RISK | 2026-02-26 22:42:43.015170 | Score: 56.2 | Vol Risk: 70.0 | Liq Risk: 35.0 | VaR: $3255.24
2026-02-26 22:42:43 | INFO | RISK | 2026-02-26 22:42:43.048740 | Score: 56.2 | Vol Risk: 70.0 | Liq Risk: 35.0 | VaR: $3301.06
2026-02-26 22:50:06 | INFO | RISK | 2026-02-26 22:50:06.870811 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $103.18
2026-02-26 22:50:06 | INFO | RISK | 2026-02-26 22:50:06.921790 | Score: 49.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $106.80
2026-02-26 22:50:06 | INFO | RISK | 2026-02-26 22:50:06.976858 | Score: 51.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $112.21
2026-02-26 22:50:07 | INFO | RISK | 2026-02-26 22:50:07.010873 | Score: 48.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $111.21
2026-02-26 22:50:07 | INFO | RISK | 2026-02-26 22:50:07.071081 | Score: 33.0 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $110.20
2026-02-26 22:50:07 | INFO | RISK | 2026-02-26 22:50:07.105476 | Score: 46.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $111.44
2026-02-26 22:50:07 | INFO | RISK | 2026-02-26 22:50:07.534918 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $68.31
2026-02-26 22:50:07 | INFO | RISK | 2026-02-26 22:50:07.843579 | Score: 35.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $82.07
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.127140 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $96.71
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.190657 | Score: 37.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $92.58
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.224173 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $118.17
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.278905 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $116.56
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.333963 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $114.14
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.384439 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $119.34
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.434495 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $131.97
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.487374 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $139.89
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.518085 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $192.92
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.583778 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $188.99
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.668062 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $189.63
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.720371 | Score: 38.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $184.88
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.784654 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $172.00
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.834544 | Score: 38.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $167.65
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.919336 | Score: 44.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $123.41
2026-02-26 22:50:08 | INFO | RISK | 2026-02-26 22:50:08.975124 | Score: 44.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $104.57
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.047912 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $102.60
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.119462 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $103.00
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.170716 | Score: 38.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $94.33
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.280535 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $59.26
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.337561 | Score: 38.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $53.59
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.387920 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $58.06
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.453478 | Score: 42.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $57.72
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.519064 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $54.04
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.584936 | Score: 37.0 | Vol Risk: 25.0 | Liq Risk: 20.0 | VaR: $54.53
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.636725 | Score: 42.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $62.32
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.862163 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $103.83
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.926898 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $105.52
2026-02-26 22:50:09 | INFO | RISK | 2026-02-26 22:50:09.987260 | Score: 42.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $125.39
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.037942 | Score: 44.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $127.26
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.102413 | Score: 40.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $135.93
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.190130 | Score: 45.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $137.77
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.673808 | Score: 34.0 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $260.50
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.739847 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $258.34
2026-02-26 22:50:10 | INFO | RISK | 2026-02-26 22:50:10.871737 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $133.66
2026-02-26 22:50:13 | INFO | RISK | 2026-02-26 22:50:13.907086 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $163.51
2026-02-26 22:50:13 | INFO | RISK | 2026-02-26 22:50:13.953870 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $194.86
2026-02-26 22:50:14 | INFO | RISK | 2026-02-26 22:50:14.001596 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $210.02
2026-02-26 22:50:14 | INFO | RISK | 2026-02-26 22:50:14.058399 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $207.56
2026-02-26 22:50:14 | INFO | RISK | 2026-02-26 22:50:14.106865 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $223.00
2026-02-26 22:50:14 | INFO | RISK | 2026-02-26 22:50:14.154685 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $251.72
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.184482 | Score: 37.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $92.58
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.231193 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $118.17
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.294702 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $108.68
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.343738 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $110.56
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.409905 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $131.94
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.449330 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $131.68
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.552608 | Score: 40.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $192.94
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.649441 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $184.61
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.709074 | Score: 38.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $180.15
2026-02-26 22:51:14 | INFO | RISK | 2026-02-26 22:51:14.760656 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $172.00
