Epoch 12: Steps=87, Rewards={'agent1': 1.5455613812501527, 'agent2': 2.9474389602465756, 'agent3': 2.6279341535705747, 'agent4': 2.980781018264714, 'agent5': 3.6960302311488613, 'agent6': 3.945726129103125, 'agent7': 4.033947429231268, 'agent8': 2.9431984562525835, 'agent9': 2.765646210648956, 'agent10': 3.168861258151492}, Losses={'agent1': 0.7038033, 'agent2': 0.6286583, 'agent3': 0.6155439, 'agent4': 0.66943854, 'agent5': 0.6691126, 'agent6': 0.6523853, 'agent7': 0.6248737, 'agent8': 0.61439806, 'agent9': 0.6687033, 'agent10': 0.6720292}
Epoch 13: Steps=95, Rewards={'agent1': 4.40389900959048, 'agent2': 2.328634802716263, 'agent3': 3.2419545848679587, 'agent4': 3.6683188680268675, 'agent5': 3.0070105103950135, 'agent6': 3.892758843655153, 'agent7': 4.290489685166156, 'agent8': 2.253562299041686, 'agent9': 2.6854076448288673, 'agent10': 3.6842122895742837}, Losses={'agent1': 0.5789346, 'agent2': 0.5497398, 'agent3': 0.56127036, 'agent4': 0.61287344, 'agent5': 0.6037547, 'agent6': 0.5737225, 'agent7': 0.56525415, 'agent8': 0.6300043, 'agent9': 0.59920615, 'agent10': 0.5955927}
Epoch 14: Steps=82, Rewards={'agent1': 2.8049066195766397, 'agent2': 3.687898643778768, 'agent3': 3.1454497593424846, 'agent4': 3.0175677036719293, 'agent5': 3.5607477215329646, 'agent6': 3.276810490778458, 'agent7': 3.7768838154571123, 'agent8': 3.179203092897173, 'agent9': 3.1780530199956023, 'agent10': 4.4797841764859365}, Losses={'agent1': 0.6194021, 'agent2': 0.59155685, 'agent3': 0.55971485, 'agent4': 0.5798113, 'agent5': 0.5567709, 'agent6': 0.6049723, 'agent7': 0.59599644, 'agent8': 0.61568105, 'agent9': 0.5222208, 'agent10': 0.5798967}
Epoch 15: Steps=87, Rewards={'agent1': 2.0072706001380225, 'agent2': 4.2420900425855175, 'agent3': 3.3268593192850964, 'agent4': 2.9449334295216167, 'agent5': 4.375835496075884, 'agent6': 2.6711071944909066, 'agent7': 3.274581429578726, 'agent8': 2.6391510367694373, 'agent9': 2.200413243227239, 'agent10': 4.470985166313583}, Losses={'agent1': 0.48024788, 'agent2': 0.49139804, 'agent3': 0.5268402, 'agent4': 0.4675368, 'agent5': 0.45935258, 'agent6': 0.48052245, 'agent7': 0.49974534, 'agent8': 0.5158805, 'agent9': 0.5639186, 'agent10': 0.5477241}
Epoch 16: Steps=84, Rewards={'agent1': 3.675712463480995, 'agent2': 3.0602321460158004, 'agent3': 2.7818055432060076, 'agent4': 2.893036800128034, 'agent5': 4.299172864921353, 'agent6': 3.2980475972416112, 'agent7': 3.8235640448006802, 'agent8': 2.523713154589816, 'agent9': 3.02242411451063, 'agent10': 3.7586927721429286}, Losses={'agent1': 0.4687986, 'agent2': 0.47873026, 'agent3': 0.47894713, 'agent4': 0.4669914, 'agent5': 0.4841885, 'agent6': 0.4503815, 'agent7': 0.563276, 'agent8': 0.48312712, 'agent9': 0.5266161, 'agent10': 0.47970676}
Epoch 17: Steps=85, Rewards={'agent1': 3.2183157787628676, 'agent2': 2.8812317153461664, 'agent3': 3.9299841465732435, 'agent4': 4.508375985077738, 'agent5': 3.8027885486900264, 'agent6': 2.9976720948073, 'agent7': 3.1221398186284626, 'agent8': 3.51990432743703, 'agent9': 3.1825827984331245, 'agent10': 2.4558067799991576}, Losses={'agent1': 0.40692738, 'agent2': 0.45736665, 'agent3': 0.44263127, 'agent4': 0.41112682, 'agent5': 0.40783563, 'agent6': 0.41253802, 'agent7': 0.43719763, 'agent8': 0.42826033, 'agent9': 0.41748127, 'agent10': 0.46112922}
Epoch 18: Steps=104, Rewards={'agent1': 3.511800356287137, 'agent2': 2.598752197954296, 'agent3': 3.1939650095699474, 'agent4': 2.364890552168786, 'agent5': 2.80364540994852, 'agent6': 2.369928185470596, 'agent7': 4.123149192848993, 'agent8': 3.9486906638016013, 'agent9': 3.652430957797521, 'agent10': 4.456715190915934}, Losses={'agent1': 0.36131278, 'agent2': 0.35788503, 'agent3': 0.34980726, 'agent4': 0.37141547, 'agent5': 0.34174418, 'agent6': 0.3565567, 'agent7': 0.3770037, 'agent8': 0.3582146, 'agent9': 0.39024562, 'agent10': 0.37562495}
Epoch 19: Steps=76, Rewards={'agent1': 2.941105003640617, 'agent2': 4.504271143131493, 'agent3': 4.278495269909649, 'agent4': 3.5031500043079293, 'agent5': 4.3682028599476945, 'agent6': 3.65688655679678, 'agent7': 3.365843171016002, 'agent8': 3.531918488882199, 'agent9': 3.29934612053162, 'agent10': 4.0693614649537375}, Losses={'agent1': 0.34675702, 'agent2': 0.3349081, 'agent3': 0.34724438, 'agent4': 0.33741906, 'agent5': 0.35322952, 'agent6': 0.32928792, 'agent7': 0.36921766, 'agent8': 0.37293637, 'agent9': 0.33681175, 'agent10': 0.36831063}
Epoch 20: Steps=83, Rewards={'agent1': 4.344624220545398, 'agent2': 3.3010810954556167, 'agent3': 2.8358328680344367, 'agent4': 3.0232088616778467, 'agent5': 2.6215379851604714, 'agent6': 4.29624329448954, 'agent7': 3.1758882436466744, 'agent8': 2.806439080573056, 'agent9': 3.1642249266381, 'agent10': 3.345905413512953}, Losses={'agent1': 0.31569794, 'agent2': 0.3451789, 'agent3': 0.34257296, 'agent4': 0.332857, 'agent5': 0.33247343, 'agent6': 0.33636397, 'agent7': 0.36647183, 'agent8': 0.34113678, 'agent9': 0.33843672, 'agent10': 0.33639905}
Epoch 21: Steps=89, Rewards={'agent1': 3.131138082188981, 'agent2': 4.046716564334229, 'agent3': 1.2796915829385553, 'agent4': 2.6902556361763406, 'agent5': 0.9873167394191008, 'agent6': 4.491968053342414, 'agent7': 3.328589970996573, 'agent8': 2.932948731986641, 'agent9': 4.340053756466635, 'agent10': 2.666273465757106}, Losses={'agent1': 0.39567754, 'agent2': 0.39254752, 'agent3': 0.4376079, 'agent4': 0.40238157, 'agent5': 0.3710285, 'agent6': 0.42991304, 'agent7': 0.4167769, 'agent8': 0.36666563, 'agent9': 0.39515305, 'agent10': 0.393581}
