entry_time,exit_time,direction,entry_price,exit_price,pips,exit_reason,max_drawup_pips,max_drawdown_pips,duration_bars,take_profit,stop_loss,win,equity
2025-12-05 04:05:00,2025-12-05 04:20:00,Short,4202.01,4197.32,4.690000000000509,TP,5.25,0.7799999999997453,3,4.690000000000509,3.75,True,4.690000000000509
2025-12-05 04:30:00,2025-12-05 04:40:00,Short,4197.88,4201.4,-3.519999999999527,SL,1.0799999999999272,6.739999999999782,2,4.400000000000546,3.519999999999527,False,1.1700000000009823
2025-12-05 04:55:00,2025-12-05 05:40:00,Short,4205.49,4209.25,-3.7600000000002183,Timeout,3.649999999999636,3.7600000000002183,9,4.710000000000036,3.7700000000004366,False,-2.589999999999236
2025-12-05 06:50:00,2025-12-05 07:00:00,Long,4214.69,4218.31,3.6200000000008004,TP,3.680000000000291,0.0,2,3.6200000000008004,2.889999999999418,True,1.0300000000015643
2025-12-05 07:25:00,2025-12-05 07:30:00,Long,4216.42,4219.87,3.449999999999818,TP,4.789999999999964,0.0,1,3.449999999999818,2.7600000000002183,True,4.480000000001382
2025-12-05 07:40:00,2025-12-05 08:05:00,Long,4219.96,4223.49,3.5299999999997453,TP,7.479999999999563,1.2799999999997453,5,3.5299999999997453,2.819999999999709,True,8.010000000001128
2025-12-05 08:25:00,2025-12-05 08:30:00,Long,4229.1,4225.83,-3.2700000000004366,SL,0.0,5.289999999999964,1,4.089999999999236,3.2700000000004366,False,4.740000000000691
2025-12-05 09:10:00,2025-12-05 09:40:00,Long,4228.65,4225.38,-3.269999999999527,SL,2.130000000000109,4.1799999999993815,6,4.079999999999927,3.269999999999527,False,1.4700000000011642
2025-12-05 09:50:00,2025-12-05 10:05:00,Long,4225.6,4222.34,-3.2600000000002183,SL,1.4799999999995634,3.7600000000002183,3,4.079999999999927,3.2600000000002183,False,-1.7899999999990541
2025-12-05 10:20:00,2025-12-05 10:55:00,Long,4223.95,4220.58,-3.369999999999891,SL,1.8299999999999272,3.380000000000109,7,4.210000000000036,3.369999999999891,False,-5.159999999998945
2025-12-05 11:05:00,2025-12-05 11:15:00,Long,4220.84,4217.59,-3.25,SL,0.1499999999996362,4.860000000000582,2,4.069999999999709,3.25,False,-8.409999999998945
2025-12-05 11:20:00,2025-12-05 11:35:00,Long,4218.76,4222.88,4.119999999999891,TP,5.670000000000073,0.5,3,4.119999999999891,3.300000000000182,True,-4.289999999999054
2025-12-05 11:50:00,2025-12-05 12:20:00,Long,4223.59,4227.41,3.819999999999709,TP,3.899999999999636,0.3900000000003274,6,3.819999999999709,3.0600000000004,True,-0.46999999999934516
